,plr_nr,plr_name,plz
183324,7200414,Hohenfriedbergstraße,10829
183351,7300618,Ceciliengärten,12161
183381,7300515,Taunusstraße,14197
183385,7400928,Germaniagarten,12099
183398,7100101,Wittenbergplatz,10787
183446,7100206,Großgörschenstraße,10827
183452,7100204,Barbarossaplatz,10779
183455,7200411,Julius-Leber-Brücke,10827
183494,7400823,Wittekindstraße,12105
183499,7100204,Barbarossaplatz,10823
183503,7400721,Paradestraße,10965
183557,7100205,Alvenslebenstraße,10785
183581,7300516,Odenwaldstraße,12163
183583,7100206,Großgörschenstraße,10783
183730,7300517,Perelsplatz,10827
183776,7100103,Frobenstraße,10787
183803,7400825,Friedrich-Karl-Straße,12099
183889,7400824,Bosepark,12099
183902,7200409,Belziger Straße,10825
183948,7300517,Perelsplatz,12161
184007,7300618,Ceciliengärten,10827
184278,7100101,Wittenbergplatz,10779
184285,7100102,Kalckreuthstraße,10785
184395,7100103,Frobenstraße,10785
184416,7400720,Gontermannstraße,10965
185019,7400822,Lindenhofsiedlung,10829
185180,7200308,Volkspark (Rudolph-Wilde-Park),10823
185616,7100205,Alvenslebenstraße,10965
186721,7400928,Germaniagarten,12347
186874,7100103,Frobenstraße,10777
188322,7100204,Barbarossaplatz,10783
188786,7200413,Cheruskerstraße,12101
189460,7400822,Lindenhofsiedlung,12157
190436,7400720,Gontermannstraße,12099
196323,7501135,Birnhornweg,12277
196510,7601340,Tirschenreuther Ring Ost,12279
196572,7601236,Marienfelder Allee Nordwest,12249
196682,7501031,Eisenacher Straße,12107
196691,7501032,Imbrosweg,12107
196959,7501030,Machonstraße,12107
197110,7400721,Paradestraße,12099
197195,7501030,Machonstraße,12109
197680,7601237,Kirchstraße,12279
197841,7601238,Marienfelde Nordost,12107
198456,7501135,Birnhornweg,12305
206626,7601545,Nahariyastraße,12305
206888,7601547,Horstwalder Straße,12309
207675,7601442,Kettinger Straße,12107
208200,7601442,Kettinger Straße,12277
210262,7601546,Franziusweg,12277
217230,8100418,Hertzbergplatz,12045
217235,8200832,Buckow Mitte,12349
217236,8100521,Schulenburgpark,12055
217253,8100103,Schillerpromenade Süd,12049
217256,8100101,Hasenheide,12049
217275,8301036,Gropiusstadt Mitte,12351
217316,8100311,Reuterplatz,12047
217321,8100314,Donaustraße,12045
217329,8100419,Treptower Straße Nord,12059
217334,8100206,Flughafenstraße,12049
217348,8100209,Glasower Straße,12057
217379,8401139,Vogelviertel Süd,12359
217399,8200833,Buckow Ost,12349
217447,8100208,Körnerpark,12049
217472,8100209,Glasower Straße,12347
217542,8100312,Weichselplatz,12047
217558,8100207,Rollberg,12049
217621,8200726,Hufeisensiedlung,12359
217643,8100415,Ganghoferstraße,12059
217709,8200730,Handwerker-Siedlung,12351
217855,8100310,Maybachufer,10967
217894,8100415,Ganghoferstraße,12055
217907,8200622,Jahnstraße,12051
217982,8100521,Schulenburgpark,12059
218011,8300934,Gropiusstadt Nord-West,12351
218107,8200622,Jahnstraße,12359
218109,8100311,Reuterplatz,10967
218226,8100415,Ganghoferstraße,12045
218271,8100314,Donaustraße,12047
218292,8100102,Schillerpromenade Nord,10965
218337,8100209,Glasower Straße,12055
218369,8100419,Treptower Straße Nord,12045
218379,8100208,Körnerpark,12055
218668,8100314,Donaustraße,10967
218929,8100101,Hasenheide,10965
219097,8100104,Wartheplatz,12049
219289,8100417,Braunschweiger Straße,12059
219304,8100520,Weiße Siedlung,12059
219723,8100208,Körnerpark,12043
220923,8100419,Treptower Straße Nord,12057
224228,8200728,Ortolanweg,12359
224229,8200727,Parchimer Allee Süd,12359
224237,8200623,Park am Buschkrug,12347
224278,8200730,Handwerker-Siedlung,12349
224343,8200622,Jahnstraße,12057
224681,8200726,Hufeisensiedlung,12347
224879,8200730,Handwerker-Siedlung,12359
225467,8200727,Parchimer Allee Süd,12349
225861,8200726,Hufeisensiedlung,12349
228854,8200624,Tempelhofer Weg,12099
229430,8300935,Gropiusstadt Süd-West,12351
229518,8401138,Goldhähnchenweg,12359
229572,8300934,Gropiusstadt Nord-West,12353
229616,8200831,Buckow West,12107
229658,8200833,Buckow Ost,12351
229758,8401138,Goldhähnchenweg,12351
230297,8301036,Gropiusstadt Mitte,12357
230339,8200832,Buckow Mitte,12353
237107,8401241,Blumenviertel,12359
237291,8401242,Zittauer Straße,12353
237301,8301037,Gropiusstadt Süd-Ost,12357
237306,8401241,Blumenviertel,12353
237492,8401242,Zittauer Straße,12357
247450,9100305,Baumschulenweg Ost,12437
248251,9301126,Grünau,12526
248654,9200614,Oberspree,12439
248685,9100202,Plänterwald West,12435
250211,9100409,Landschaftspark Adlershof,12439
256676,9200716,Dörpfeldstraße West,12439
260809,9300920,Dorf Altglienicke,12355
261597,9100101,Alt-Treptow,12059
261654,9200613,Bahnhof Schöneweide,12437
262566,9100407,Johannisthal West,12437
263830,9200613,Bahnhof Schöneweide,12487
264572,9100304,Baumschulenweg West,12487
270484,9301228,Schmöckwitz/Rauchfangswerder,15537
272342,9401433,Allende II,12559
272569,9200818,Spindlersfeld,12557
273044,9200819,Köllnische Vorstadt,12555
273073,9501941,Friedrichshagener Straße,12587
273349,9401534,Altstadt Köpenick,12559
273661,9501838,Rahnsdorf,15566
274521,9502042,Mittelheide,12623
275812,9501939,Bahnhofstraße,12459
276638,9401431,Allende I,12555
277445,9501838,Rahnsdorf,15569
293337,10200630,Cecilienplatz,12621
293475,10100315,Bärenstein,12683
293652,10100101,Marzahn West,12689
294229,10200526,Boulevard Kastanienallee,12627
294240,10100208,Bürgerpark,12687
294274,10100206,Wuhletalstraße,12687
294305,10200419,Havelländer Ring,12629
294317,10400835,Kaulsdorf Nord,12623
294369,10400835,Kaulsdorf Nord,12619
294725,10400939,Alt-Mahlsdorf,12621
294957,10400940,Elsensee,12621
295350,10100209,Lea-Grundig-Straße,12685
297995,10100315,Bärenstein,12681
298278,10100205,Gewerbegebiet Bitterfelder Straße,12689
298922,10100205,Gewerbegebiet Bitterfelder Straße,13057
302619,10100205,Gewerbegebiet Bitterfelder Straße,13053
308195,10200419,Havelländer Ring,12627
308608,10200417,Zossener Straße,12627
311662,10400835,Kaulsdorf Nord,12627
311833,10200627,Am Kienberg,12627
312584,10200525,Schleipfuhl,12621
315979,10300734,Biesdorf Süd,12621
316826,10200627,Am Kienberg,12629
318900,10400837,Kaulsdorf Süd,12555
322200,10100104,Golliner Straße,12689
331183,11300619,Rudolf-Seiffert-Park,10369
331236,11100307,Zingster Straße Ost,13051
331311,11400928,Nöldnerplatz,10319
331386,11300724,Roedeliusplatz,10365
331858,11100205,Wartenberg Süd,13059
332199,11100203,Falkenberg Ost,13057
332413,11200512,Orankesee,13055
333705,11100307,Zingster Straße Ost,13053
338902,11200411,Hauptstraße,12681
340693,11200515,Weiße Taube,12681
341275,11401137,Erieseering,10315
341332,11300722,Rathaus Lichtenberg,10369
341346,11300619,Rudolf-Seiffert-Park,10367
341433,11401034,Tierpark,10319
341594,11300617,Fennpfuhlpark,10369
341600,11400931,Massower Straße,10317
341707,11501238,Rummelsburg,10318
343001,11300617,Fennpfuhlpark,10367
343474,11300826,Frankfurter Allee Süd,10317
345271,11401032,Rosenfelder Ring,10365
347423,11501341,Karlshorst Süd,10317
352177,12200307,Reinickes Hof,13403
352179,12200414,TXL,13629
352188,12100206,Humboldtstraße,13407
352227,12601236,Schorfheidestraße,13435
352230,12601032,Rollbergesiedlung,13469
352314,12601235,Dannenwalder Weg,13439
352325,12200309,Scharnweberstraße,13403
352411,12100204,Schäfersee,13407
352420,12601133,Treuenbrietzener Straße,13435
352519,12100206,Humboldtstraße,13403
352634,12601134,Märkisches Zentrum,13439
352737,12601031,Lübarser Straße,13435
352927,12200412,Waldidyll/Flughafensee,13507
353228,12200310,Klixstraße,13405
353268,12100204,Schäfersee,13409
353377,12100205,Teichstraße,13409
353443,12100103,Breitkopfbecken,13407
353660,12100102,Hausotterplatz,13156
353790,12100101,Letteplatz,13407
353990,12100204,Schäfersee,13403
354066,12100205,Teichstraße,13437
354596,12100204,Schäfersee,13405
354862,12100205,Teichstraße,13405
355132,12500928,Waidmannslust,13509
356424,12500926,Wittenau Mitte,13435
360570,12200310,Klixstraße,13509
364242,12200411,Schumacher-Quartier,13405
364259,12200414,TXL,13405
364346,12200412,Waldidyll/Flughafensee,13599
364722,12400619,Heiligensee,13505
364862,12200414,TXL,13599
365106,12400619,Heiligensee,13507
368919,12200515,Alt-Tegel,13505
383167,12601031,Lübarser Straße,13437
383169,12500927,Wittenau Nord,13509
383223,12200412,Waldidyll/Flughafensee,13403
383430,12200515,Alt-Tegel,13509
383724,12500825,Borsigwalde,13403
384412,12500927,Wittenau Nord,13435
384667,12500824,Ziekowstraße/Freie Scholle,13507
393885,11501340,Karlshorst Nord,12459
396233,1100102,Großer Tiergarten,10555
396875,12400619,Heiligensee,13599
397620,1200517,Huttenkiez,13627
